SENTIMENT;TEXT
Negative;They have a good selection of goods but high prices
Negative;Smaller selection of goods and small shop.
Positive;Sufficient choice of food
Positive;Perfect service
Positive;Harder to navigate here, but it's nice here
Positive;Near, cleanly, they have quality food
Positive;Customer service at ticket offices and toilets for children.
Positive;Availability, friendly staff
Positive;I'm used to not coming here
Positive;Satisfied, I'll buy everything here
Negative;I don't always get action items.
Negative;Long queues and little staff
Positive;Quick shopping is here at hand, good pastry
Negative;It is cheap but has long fonts at the checkout
Positive;Perfect and pleasant shop, all service.
Positive;Good snack
Positive;Well available
Negative;Supplement and control bread, missing onion bread from the hypermarket
Negative;A larger assortment of fruits and vegetables
Positive;Long opening hours of self-service checkout
Negative;Small shopping area with pram.
Positive;Bill is my favorite store I like it here
Negative;High prices compared to competitors.
Positive;There's fresh produce and nice fruit vegetables
Negative;I am delaying the self-service checkout
Negative;It bothers the quality of fruits and vegetables
Positive;Good availability, good layout
Positive;Small shop, ideal for small purchases.
Negative;Small assortment of messy shop
Positive;Everything I like here is nice
Positive;I didn't give 10 points to make room for improvement. But I'm happy.
Positive;It's close here
Positive;Large selection, fresh goods.
Negative;It is close, fresh fruits and vegetables, opening hours, bothers higher prices
Positive;Small shop, few people, fast shopping
Positive;Excellent actions and lots of goods.
Positive;Large space and organized store.
Negative;Good pastry, but it is low and sometimes not at all
Positive;I live across and bill me the best oz
Positive;It's my favorite store to get it all
Positive;Good shopping, wide alleys, a very wide range. Good sausages and bread and.
Positive;There is a large selection, low prices
Positive;Shopping is good here, self-service checkout speeds up the queues.
Negative;If I don't shop for events, it's too expensive
Neutral;In the morning it's good afternoon hz madhouse
Negative;Changing service to more friendly staff
Positive;Helpful staff, good pastries
Positive;Enough food selection at the small local shop
Positive;Large selection of sausages
Positive;Large selection of goods, overview, I can pay with a meal voucher
Negative;Well, the course would want to be rebuilt
Positive;Pretty good actions and I always buy well here
Positive;I'm close to buying what I need
Negative;Bigger discounts on all kinds of food
Positive;It especially suits me for big shopping
Negative;Tiny queue
Positive;Enough food is close
Negative;Put more security in the store
Positive;Opening hours compliant.
Neutral;I have no objections to the product range or quality. But most of the time there are queues at the checkout, even at the self-service.
Negative;Satisfied sometimes I do not match prices,
Negative;Yoghurts and goods are not aligned and organized
Negative;Rotten vegetables, pastry strewn and mixed
Negative;I don't think it's a bad business but it's too cramped here badly with a buggy about enough
Positive;They have a big choice and it's better here
Negative;Action items last a long time, they won't sell right away
Positive;I like the good offer of goods
Positive;Small shop, quick purchase
Positive;I like the reconstruction, well arranged
Positive;Large selection of goods
Positive;It is pleasant, spacious and well bought here
Positive;Wide sortiment.
Positive;It is a large selection and overall overview
Negative;Self-service cash registers are awkward because I can't put my bag in there and put goods in it, and the other thing is that you can only pay by card.
Negative;There is little space, but otherwise they try
Negative;Employee approach to customer negative, unwilling employee at delicatessen
Positive;Satisfied, clear goods.
Positive;I am close and they are clear streets
Negative;No goods in action when I go for him
Positive;Friendly and helpful staff
Negative;Queues at the checkout, cigarette supply, baskets should be at the entrance.
Positive;Fresh food
Neutral;We come here once in a while when we go for a big purchase
Neutral;More, I go to the kaufland
Negative;Sometimes the goods are sold out in promotions
Positive;Good shopping, wide alleys, a very wide range. Good sausages and bread and.
Positive;Distance, fresh bread
Positive;In the city center, near the parking lot, not like in Vaňkovka, I have to carry the shopping two floors higher.
Positive;Discounts and I have close to home
Positive;It's close to the store
Positive;Quality raw materials, low prices, pleasant environment
Negative;I don't like the layout of the store.
Positive;Good dairy products and a nice selection of vegetables.
Neutral;It is small, not choosing, counseling I will not buy here
Positive;Good prices, large parking
Positive;Satisfied, clear, lots of goods.
Positive;Good shopping environment a wide selection of food
Negative;More goods, larger assortment
Positive;I shop here every day, very satisfied.
Positive;Pleasant, small shop with great offer.
Negative;There's too little room here, those cash register sales are fucked up.
Negative;They are reluctant to know. I feel like I'm bothering them ....
Positive;I am satisfied here, I do not miss anything
Negative;Well remade, there are big queues.
Negative;Clutter on the store.
Positive;It's clear and everything at hand
Positive;Cheapest shop, still some action, quality
Positive;I'm happy after the reconstruction it has improved a lot
